form_id,date_start,date_end,location_id,location_name,country_name,emergency_post_emergency,number_of_persons_per_usable_handpump_well_spring,number_of_persons_per_usable_water_tap,average_number_liters_of_potable_water_available_per_person_per_day,percent_water_quality_tests_at_non_chlorinated_water_collection_locations_with_0_cfu_100ml,percent_of_water_quality_tests_at_chlorinated_collection_locations_with_frc_in_the_range_0_2_2mg_l_and_turbidity_5ntu5,percent_households_with_household_toilet_latrine_monthly,number_of_persons_per_toilet_latrine,number_of_persons_per_bath_shelter_shower,number_of_persons_per_hygiene_promoter,refugee_population,reporting_period_monthly_indicator,average_number_l_p_d_of_potable_water_collected_at_household_level,percent_households_with_at_least_10_liters_person_potable_water_storage_capacity,percent_households_collecting_drinking_water_from_protected_treated_sources,percent_of_women_of_reproductive_age_who_are_satisfied_with_menstrual_hygiene_management_materials_and_facilities,percent_households_with_household_toilet_latrine,percent_households_reporting_defecating_in_a_toilet,percent_households_with_access_to_soap,percent_households_with_access_to_solid_waste_disposal_facility,reporting_period_annual_indicator
54408796,2023-01-02,2023-01-29,552,Adjumani,Uganda,Post-emergency,428,332,14,100,92,68,10,11,695,208672,19358,NA,NA,NA,NA,NA,NA,NA,NA,NA
54381102,2023-01-02,2023-01-29,554,Kyaka II,Uganda,Post-emergency,516,672,13,100,100,57,6,12,475,118986,19358,NA,NA,NA,NA,NA,NA,NA,NA,NA
54369318,2023-01-02,2023-01-29,558,Nakivale,Uganda,Post-emergency,7921,NA,14,92,92,0,NA,NA,NA,166344,19358,NA,NA,NA,NA,NA,NA,NA,NA,NA
54375547,2023-01-02,2023-01-29,555,Oruchinga,Uganda,Post-emergency,538,NA,21,95,91,0,NA,NA,NA,8601,19358,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370770,2023-01-16,2023-01-16,3926,Sayam Forage,Niger,Post-emergency,NA,420,7,100,100,17,18,28,7898,31594,19358,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366186,2022-11-28,2023-01-01,463,Auserd,Algeria,Post-emergency,NA,28,48,NA,NA,94,5,4,1242,18638,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366191,2022-11-28,2023-01-01,464,Boujdour,Algeria,Post-emergency,NA,NA,39,NA,NA,94,5,4,960,9601,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366196,2022-11-28,2023-01-01,465,Dakhla,Algeria,Post-emergency,NA,49,72,NA,NA,98,5,4,724,10870,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366200,2022-11-28,2023-01-01,466,Layounne,Algeria,Post-emergency,NA,31,31,NA,NA,88,5,5,1700,25503,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366204,2022-11-28,2023-01-01,467,Smara,Algeria,Post-emergency,NA,89,45,NA,NA,87,5,5,1493,25389,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365838,2022-11-28,2023-01-01,209,Lovua settlement,Angola,Post-emergency,NA,64,20,NA,NA,76,6,6,1068,6410,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370560,2022-11-28,2023-01-01,622,Borgop,Cameroon,Post-emergency,439,NA,20,NA,NA,39,6,12,498,10975,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370564,2022-11-28,2023-01-01,451,Gado,Cameroon,Post-emergency,0,0,17,NA,NA,26,9,18,1013,25337,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370694,2022-11-28,2023-01-01,453,Lolo,Cameroon,Post-emergency,556,390,16,NA,NA,26,10,19,584,11686,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370702,2022-11-28,2023-01-01,623,Mbile,Cameroon,Post-emergency,397,NA,17,NA,NA,37,7,13,432,10802,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370744,2022-11-28,2023-01-01,625,Minawao,Cameroon,Post-emergency,1345,246,13,NA,NA,26,12,26,2173,76063,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370746,2022-11-28,2023-01-01,624,Ngam,Cameroon,Post-emergency,0,NA,18,NA,NA,47,5,10,457,6860,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370748,2022-11-28,2023-01-01,3883,Ngarisingo,Cameroon,Post-emergency,0,NA,15,NA,NA,57,4,8,444,1334,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370752,2022-11-28,2023-01-01,461,Timangolo,Cameroon,Post-emergency,0,0,17,NA,NA,34,7,14,477,6680,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54375687,2022-11-28,2023-01-01,484,Dar Es Salam,Chad,Post-emergency,423,555,19,100,100,16,21,18,1480,17760,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54388496,2022-11-28,2023-01-01,602,Ali Adde,Djibouti,Post-emergency,NA,79,15,NA,100,31,13,NA,4323,17292,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54388511,2022-11-28,2023-01-01,603,Holl Holl,Djibouti,Post-emergency,NA,80,15,NA,100,9,25,3638,3638,7276,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54413995,2022-11-28,2023-01-01,531,Awbarre,Ethiopia,Post-emergency,NA,2801,17,100,33,68,7,7,630,12600,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370526,2022-11-28,2023-01-01,543,Bambasi,Ethiopia,Post-emergency,NA,278,8,NA,100,12,36,NA,3376,43894,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54389647,2022-11-28,2023-01-01,533,Bokolmanyo,Ethiopia,Post-emergency,NA,NA,15,NA,99,13,21,NA,NA,32441,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54389676,2022-11-28,2023-01-01,536,Kobe,Ethiopia,Post-emergency,NA,NA,16,NA,93,7,50,NA,NA,37208,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54414004,2022-11-28,2023-01-01,532,Sheder,Ethiopia,Post-emergency,NA,1297,14,100,0,71,7,77,626,12529,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370527,2022-11-28,2023-01-01,525,Sherkole,Ethiopia,Post-emergency,NA,62,19,NA,100,39,10,10,1026,12319,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370528,2022-11-28,2023-01-01,496,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,173,14,NA,100,16,19,NA,2310,43894,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373604,2022-11-28,2023-01-01,668,Ampain,Ghana,Post-emergency,280,37,69,71,67,0,16,22,148,2517,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373605,2022-11-28,2023-01-01,669,Egyeikrom,Ghana,Post-emergency,221,NA,113,NA,NA,0,4,4,33,441,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373603,2022-11-28,2023-01-01,670,Fetentaa,Ghana,Post-emergency,NA,NA,55,50,25,3,3,9,33,339,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373606,2022-11-28,2023-01-01,671,Krisan,Ghana,Post-emergency,111,97,24,67,100,0,12,2,111,779,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373597,2022-11-28,2023-01-01,445,Arbat,Iraq,Post-emergency,NA,NA,85,100,100,100,5,5,NA,9105,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373598,2022-11-28,2023-01-01,446,Basirma,Iraq,Post-emergency,NA,5,81,100,100,100,6,5,756,2270,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373600,2022-11-28,2023-01-01,442,Kawergosk,Iraq,Post-emergency,NA,6,128,100,100,100,6,5,969,7758,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373601,2022-11-28,2023-01-01,444,Qushtapa,Iraq,Post-emergency,NA,7,112,100,100,100,6,6,95,8361,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370444,2022-11-28,2023-01-01,313,Dzaleka,Malawi,Post-emergency,1414,372,15,100,100,38,8,11,165,56576,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370534,2022-11-28,2023-01-01,4371,Garin Kaka,Niger,Post-emergency,NA,311,16,NA,NA,0,69,80,272,4359,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370540,2022-11-28,2023-01-01,3926,Sayam Forage,Niger,Post-emergency,NA,361,7,100,100,18,17,28,7898,31594,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366128,2022-11-28,2023-01-01,4673,Adagam 3,Nigeria,Post-emergency,NA,87,21,100,100,24,17,18,520,2080,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366124,2022-11-28,2023-01-01,4251,Adagom,Nigeria,Post-emergency,NA,98,22,100,100,17,20,29,1017,10170,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366122,2022-11-28,2023-01-01,4674,Ikyogen,Nigeria,Post-emergency,NA,238,13,100,100,22,16,30,1218,6090,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366126,2022-11-28,2023-01-01,4675,Ukende,Nigeria,Post-emergency,57,50,17,100,100,6,21,23,585,3510,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373964,2022-11-28,2023-01-01,629,Kigeme,Rwanda,Post-emergency,NA,80,14,NA,100,0,34,42,661,14551,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54374167,2022-11-28,2023-01-01,627,Kiziba,Rwanda,Post-emergency,NA,53,27,NA,100,0,22,47,252,16157,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54368640,2022-11-28,2023-01-01,631,Mahama,Rwanda,Post-emergency,NA,76,24,100,100,0,16,16,455,58256,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54373965,2022-11-28,2023-01-01,630,Mugombwa,Rwanda,Post-emergency,NA,73,25,NA,100,0,24,36,954,11457,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54369444,2022-11-28,2023-01-01,628,Nyabiheke,Rwanda,Post-emergency,NA,84,21,NA,100,0,18,45,830,13289,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54408795,2022-11-28,2023-01-01,552,Adjumani,Uganda,Post-emergency,428,428,14,90,73,68,10,11,693,208008,19327,NA,NA,NA,NA,NA,NA,NA,NA,NA
54378177,2022-01-01,2022-12-31,4214,Camp 17,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,82,100,93,0,47,99,90,2022-07-05
54376741,2022-01-01,2022-12-31,4162,Camp 1E,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,82,99,80,0,63,99,84,2022-07-05
54376749,2022-01-01,2022-12-31,4218,Camp 21,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,79,100,91,0,65,99,77,2022-07-05
54376750,2022-01-01,2022-12-31,4219,Camp 26,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,97,100,82,0,60,97,88,2022-07-05
54378178,2022-01-01,2022-12-31,4530,Camp 27,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,92,100,94,0,66,97,81,2022-07-05
54376743,2022-01-01,2022-12-31,4529,Camp 2E,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,85,100,88,0,61,99,87,2022-07-05
54376744,2022-01-01,2022-12-31,4151,Camp 2W,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,92,100,84,0,66,98,85,2022-07-05
54376745,2022-01-01,2022-12-31,4137,Camp 3,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,79,100,91,0,56,99,69,2022-07-05
54376746,2022-01-01,2022-12-31,4155,Camp 4,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,78,100,88,0,46,99,92,2022-07-05
54376747,2022-01-01,2022-12-31,4153,Camp 4 Ext,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,85,100,90,0,64,100,100,2022-07-05
54376748,2022-01-01,2022-12-31,4143,Camp 5,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,80,100,82,0,55,100,75,2022-07-05
54376751,2022-01-01,2022-12-31,569,Kutupalong,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,84,100,84,0,59,99,94,2022-07-05
54376752,2022-01-01,2022-12-31,570,Nayapara,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,95,100,84,0,73,100,92,2022-07-05
54372521,2022-01-01,2022-12-31,622,Borgop,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,32.9,88,28,17,78.8,79.1,45,2022-12-22
54372522,2022-01-01,2022-12-31,451,Gado,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,39.3,83,34,22,64,72,42,2022-12-22
54372523,2022-01-01,2022-12-31,453,Lolo,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,38.2,83.2,25,30,75,78,40,2022-12-22
54372524,2022-01-01,2022-12-31,623,Mbile,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,35.9,84,29,35,74,78,40,2022-12-22
54372525,2022-01-01,2022-12-31,625,Minawao,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,58,91,54,26,66,23,18,2022-12-22
54372526,2022-01-01,2022-12-31,624,Ngam,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,35.8,83,29,30,70,75,38,2022-12-22
54372528,2022-01-01,2022-12-31,3883,Ngarisingo,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,34.6,81,33,17,85,76,41,2022-12-22
54372530,2022-01-01,2022-12-31,461,Timangolo,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,42.7,81,26,52,77.6,83.3,41,2022-12-22
54044575,2022-01-01,2022-12-31,420,Boyabu,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,12.5,99.5,1,71.7,95.7,81,79.3,2022-04-26
53947962,2022-01-01,2022-12-31,657,Inke,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10.5,95.2,1,76.2,96.2,35.2,76.7,2022-04-08
54101394,2022-01-01,2022-12-31,4757,Modale,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,14.3,71.1,10,32.6,86.3,42.9,31.1,2022-04-14
54044576,2022-01-01,2022-12-31,658,Mole,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,17.4,100,2,67.4,91.3,50,82.6,2022-04-25
54101397,2022-01-01,2022-12-31,4760,Wenze,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,11,29.7,2,16.5,48.4,25.3,63.7,2022-04-26
54356739,2022-01-01,2022-12-31,4755,Alemwach,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,20.3,89.3,8,3.7,39.6,91.2,61.2,2022-06-12
54389841,2022-01-01,2022-12-31,543,Bambasi,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,55.5,99.7,12,95.7,100,13,31,2022-10-05
54389842,2022-01-01,2022-12-31,525,Sherkole,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,83.2,99.7,27,94.1,96,63,63,2022-10-05
54389843,2022-01-01,2022-12-31,496,Tsore Camp (Assosa),Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,35,99.3,31,53,99,14,50.5,2022-10-05
54410409,2022-01-01,2022-12-31,313,Dzaleka,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,64,91.1,22,83.9,97.7,68.9,58.2,2022-12-20
53953316,2022-01-01,2022-12-31,686,Ajoung Thok,South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,17,100,26,72,72,100,100,2021-09-09
54359881,2022-01-01,2022-12-31,3886,Pamir,South Sudan,Post-emergency,NA,NA,0,NA,45,8,10,NA,NA,48959,18993,NA,NA,NA,NA,NA,NA,NA,NA,NA
54387449,2022-01-01,2022-12-31,563,Girba,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,82,94,NA,31,74,85,NA,2022-12-04
54387446,2022-01-01,2022-12-31,565,Shagarab I,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-04
54381567,2022-01-01,2022-12-31,549,Imvepi,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,NA,72,83,86,69.6,59,2022-01-12
54381572,2022-01-01,2022-12-31,556,Kiryandongo,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,45.02,NA,52,80,89,57,59,2022-01-12
54365294,2022-01-01,2022-12-31,554,Kyaka II,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-08
54365277,2022-01-01,2022-12-31,553,Kyangwali,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,80.4,NA,NA,80.1,91.2,67.6,37.1,2022-10-10
54364382,2022-01-01,2022-12-31,558,Nakivale,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,94,NA,NA,86,90,49,76,2022-11-12
54364383,2022-01-01,2022-12-31,555,Oruchinga,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,100,NA,NA,82,94,49,81,2022-11-12
54381570,2022-01-01,2022-12-31,548,Rhino Camp,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13,NA,47,82,88,32.8,58,2022-01-12
54365354,2022-01-01,2022-12-31,559,Rwamwanja,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,34,95.1,47,69.2,96.3,48.9,62.4,2022-12-05
54411380,2022-01-01,2022-12-31,365,Tongogara,Zimbabwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,87.1,99.4,42,76.1,98,80,43.6,2022-12-19
54366185,2022-10-31,2022-11-27,463,Auserd,Algeria,Post-emergency,NA,28,45,NA,33,94,5,4,1242,18638,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366190,2022-10-31,2022-11-27,464,Boujdour,Algeria,Post-emergency,NA,NA,34,NA,50,94,5,4,960,9601,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366194,2022-10-31,2022-11-27,465,Dakhla,Algeria,Post-emergency,NA,49,72,NA,NA,98,5,4,724,10870,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366199,2022-10-31,2022-11-27,466,Layounne,Algeria,Post-emergency,NA,31,31,NA,100,88,5,5,1700,25503,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366203,2022-10-31,2022-11-27,467,Smara,Algeria,Post-emergency,NA,89,48,NA,69,87,5,5,1493,25389,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370555,2022-10-31,2022-11-27,622,Borgop,Cameroon,Post-emergency,440,NA,19,NA,NA,47,6,12,500,11007,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370563,2022-10-31,2022-11-27,451,Gado,Cameroon,Post-emergency,0,0,17,NA,NA,31,10,19,1036,25909,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370690,2022-10-31,2022-11-27,453,Lolo,Cameroon,Post-emergency,567,397,15,NA,NA,31,10,19,594,11899,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370699,2022-10-31,2022-11-27,623,Mbile,Cameroon,Post-emergency,397,NA,17,NA,NA,44,7,13,433,10829,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370736,2022-10-31,2022-11-27,625,Minawao,Cameroon,Post-emergency,1345,246,13,NA,NA,27,12,25,2164,75748,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370745,2022-10-31,2022-11-27,624,Ngam,Cameroon,Post-emergency,0,NA,14,NA,NA,56,7,13,594,8919,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370747,2022-10-31,2022-11-27,3883,Ngarisingo,Cameroon,Post-emergency,0,NA,15,NA,NA,68,4,8,446,1339,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370750,2022-10-31,2022-11-27,461,Timangolo,Cameroon,Post-emergency,609,419,17,NA,NA,41,7,14,478,6701,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54364283,2022-10-31,2022-11-27,575,Djabal,Chad,Post-emergency,NA,81,10,100,79,55,9,9,25680,25680,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54364299,2022-10-31,2022-11-27,578,Gaga,Chad,Post-emergency,NA,104,0,90,97,58,8,8,8967,26903,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54364277,2022-10-31,2022-11-27,580,Goz Amer,Chad,Post-emergency,859,NA,13,NA,82,41,11,12,19335,38671,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54364296,2022-10-31,2022-11-27,4386,Kouchaguine-Moura,Chad,Post-emergency,NA,123,17,95,97,27,24,30,5419,16258,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54388495,2022-10-31,2022-11-27,602,Ali Adde,Djibouti,Post-emergency,NA,79,22,NA,100,31,13,NA,4323,17292,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54388510,2022-10-31,2022-11-27,603,Holl Holl,Djibouti,Post-emergency,NA,80,17,NA,100,9,25,3638,3638,7276,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365287,2022-10-31,2022-11-27,4755,Alemwach,Ethiopia,Emergency,NA,NA,17,NA,NA,0,84,84,NA,22280,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54413994,2022-10-31,2022-11-27,531,Awbarre,Ethiopia,Post-emergency,NA,2801,19,100,33,0,NA,7,630,12600,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365606,2022-10-31,2022-11-27,543,Bambasi,Ethiopia,Post-emergency,NA,136,18,NA,100,29,17,NA,1545,20090,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365256,2022-10-31,2022-11-27,533,Bokolmanyo,Ethiopia,Post-emergency,NA,NA,15,NA,94,0,NA,NA,NA,32430,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54389672,2022-10-31,2022-11-27,535,Melkadida,Ethiopia,Post-emergency,NA,NA,13,NA,93,14,26,NA,NA,41400,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54414003,2022-10-31,2022-11-27,532,Sheder,Ethiopia,Post-emergency,NA,1297,13,100,75,71,7,77,626,12529,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365607,2022-10-31,2022-11-27,525,Sherkole,Ethiopia,Post-emergency,NA,62,20,NA,100,39,10,10,1115,12270,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365608,2022-10-31,2022-11-27,496,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,173,14,NA,100,16,27,NA,2306,43820,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365369,2022-10-31,2022-11-27,445,Arbat,Iraq,Post-emergency,NA,NA,85,100,100,100,5,5,NA,9100,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365371,2022-10-31,2022-11-27,446,Basirma,Iraq,Post-emergency,NA,5,84,100,100,100,6,5,755,2265,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365374,2022-10-31,2022-11-27,442,Kawergosk,Iraq,Post-emergency,NA,6,130,100,100,100,6,5,969,7758,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365375,2022-10-31,2022-11-27,444,Qushtapa,Iraq,Post-emergency,NA,5,117,100,100,100,6,6,95,8360,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365303,2022-10-31,2022-11-27,518,Dagahaley,Kenya,Post-emergency,NA,123,21,NA,100,58,9,NA,2470,103757,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365304,2022-10-31,2022-11-27,519,Hagadera,Kenya,Post-emergency,NA,136,16,NA,92,70,7,NA,1380,113217,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365305,2022-10-31,2022-11-27,520,Ifo,Kenya,Post-emergency,NA,85,23,NA,97,57,9,NA,2312,97125,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54364646,2022-10-31,2022-11-27,313,Dzaleka,Malawi,Post-emergency,1408,370,15,100,100,38,8,11,165,56304,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365797,2022-10-31,2022-11-27,696,Abala,Niger,Post-emergency,NA,114,11,NA,NA,10,19,NA,3500,10500,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365404,2022-10-31,2022-11-27,4370,Chadakori,Niger,Post-emergency,NA,377,11,NA,NA,0,79,87,494,7915,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365408,2022-10-31,2022-11-27,4369,Dandaji Makao,Niger,Post-emergency,NA,545,7,NA,NA,0,61,67,340,5445,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365413,2022-10-31,2022-11-27,4371,Garin Kaka,Niger,Post-emergency,NA,311,16,NA,NA,0,69,80,272,4359,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54365801,2022-10-31,2022-11-27,4382,Ouallam,Niger,Post-emergency,NA,116,18,NA,NA,15,20,NA,NA,6129,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54370539,2022-10-31,2022-11-27,3926,Sayam Forage,Niger,Post-emergency,NA,420,7,100,100,17,18,28,7898,31594,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366123,2022-10-31,2022-11-27,4251,Adagom,Nigeria,Post-emergency,NA,98,22,100,100,17,20,29,1017,10170,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366121,2022-10-31,2022-11-27,4674,Ikyogen,Nigeria,Post-emergency,NA,238,12,100,60,22,21,40,1618,8090,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54366125,2022-10-31,2022-11-27,4675,Ukende,Nigeria,Post-emergency,57,50,17,100,100,17,21,23,585,3510,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54367780,2022-10-31,2022-11-27,629,Kigeme,Rwanda,Post-emergency,NA,80,14,NA,100,0,34,42,660,14539,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54367781,2022-10-31,2022-11-27,627,Kiziba,Rwanda,Post-emergency,NA,53,26,NA,100,0,22,48,254,16277,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54364722,2022-10-31,2022-11-27,631,Mahama,Rwanda,Post-emergency,NA,76,24,100,100,0,16,16,454,58119,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54367779,2022-10-31,2022-11-27,630,Mugombwa,Rwanda,Post-emergency,NA,72,24,NA,100,0,24,36,951,11421,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
54364700,2022-10-31,2022-11-27,628,Nyabiheke,Rwanda,Post-emergency,NA,84,21,NA,100,0,18,45,833,13332,19297,NA,NA,NA,NA,NA,NA,NA,NA,NA
